"","X1","X","Postleitzahl","Gemeinde","Laengengrad","Breitengrad","distance"
"1",1,1,1067,"DRESDEN",13.736883,51.05169,412.9
"2",2,2,1445,"RADEBEUL",13.659342,51.10597,412.17
"3",3,3,1454,"RADEBERG",13.921969,51.1164,427.6
"4",4,4,1454,"WACHAU",13.904681,51.16011,429.48
"5",5,5,1458,"OTTENDORF OKRILLA",13.831724,51.18761,427.24
"6",6,6,1468,"MORITZBURG",13.68009,51.15949,416.95
"7",7,7,1471,"RADEBURG",13.723805,51.21545,423.18
"8",8,8,1477,"ARNSDORF",13.992798,51.09771,430.42
"9",9,9,1558,"GROSSENHAIN",13.53055,51.29205,418.17
"10",10,10,1561,"EBERSBACH",13.658579,51.23348,420.87
"11",11,11,1561,"PRIESTEWITZ",13.508779,51.25425,414.29
"12",12,12,1561,"THIENDORF",13.741189,51.29309,429.51
"13",13,13,1561,"LAMPERTSWALDE",13.673713,51.3154,427.46
"14",14,14,1561,"SCHOENFELD",13.707176,51.3034,428.4
"15",15,15,1589,"RIESA",13.304633,51.3025,407.13
"16",16,16,1594,"HIRSCHSTEIN",13.31228,51.25813,404.23
"17",17,17,1594,"STAUCHITZ",13.21419,51.24324,398.04
"18",18,18,1609,"GROEDITZ",13.447811,51.41232,422.7
"19",19,19,1609,"ROEDERAUE",13.471968,51.38753,422.09
"20",20,20,1609,"WUELKNITZ",13.392856,51.36912,416.64
"21",21,21,1612,"GLAUBITZ",13.378093,51.32491,412.59
"22",22,22,1612,"NUENCHRITZ",13.383291,51.30074,411.07
"23",23,23,1616,"STREHLA",13.225692,51.35269,406.88
"24",24,24,1619,"ZEITHAIN",13.338067,51.33323,411.14
"25",25,25,1623,"LOMMATZSCH",13.30862,51.19663,399.53
"26",26,26,1640,"COSWIG",13.580494,51.12677,409.23
"27",27,27,1662,"MEISSEN",13.468635,51.15999,405.45
"28",28,28,1665,"DIERA ZEHREN",13.417104,51.22138,407.06
"29",29,29,1665,"KAEBSCHUETZTAL",13.412117,51.14121,401.08
"30",30,30,1665,"KLIPPHAUSEN",13.527862,51.07566,402.84
"31",31,31,1683,"NOSSEN",13.299465,51.05862,389.17
"32",32,32,1689,"NIEDERAU",13.543702,51.17744,410.73
"33",33,33,1689,"WEINBOEHLA",13.571564,51.16318,411.25
"34",34,34,1705,"FREITAL",13.64812,50.99719,404.32
"35",35,35,1723,"WILSDRUFF",13.537465,51.05209,401.77
"36",36,36,1728,"BANNEWITZ",13.722393,50.99396,408.33
"37",37,37,1731,"KREISCHA",13.759963,50.94537,407.38
"38",38,38,1734,"RABENAU",13.642121,50.9653,401.9
"39",39,39,1737,"THARANDT",13.580901,50.9859,399.78
"40",40,40,1738,"DORFHAIN",13.562036,50.93555,395.42
"41",41,41,1744,"DIPPOLDISWALDE",13.666852,50.89659,398.92
"42",42,42,1762,"HARTMANNSDORF REICHENAU",13.575004,50.79307,387.12
"43",43,43,1768,"GLASHUETTE",13.781215,50.85192,402.81
"44",44,44,1773,"ALTENBERG",13.757339,50.76635,396.24
"45",45,45,1776,"HERMSDORF/ERZGEB.",13.630105,50.7607,388.37
"46",46,46,1796,"STRUPPEN",14.009953,50.93541,421.32
"47",47,47,1796,"DOHMA",13.926797,50.92198,415.62
"48",48,48,1796,"PIRNA",13.938938,50.96072,418.71
"49",49,49,1809,"HEIDENAU",13.863536,50.98089,415.59
"50",50,50,1809,"DOHNA",13.858124,50.95448,413.62
"51",51,51,1809,"MUEGLITZTAL",13.862512,50.93436,412.63
